,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,P_l_LON,P_l_LAT,P_l_DATE,P_l_NAME,O2o_LON,O2o_LAT,O2o_DATE,O2o_NAME
129,10.086,39.534,2019-03-08 00:00:00,6903238,17.34,38.926,2019-01-28 00:00:00,6903249,23.398,34.641,2019-02-15 00:00:00,6901775
130,12.657,39.319,2019-03-08 00:00:00,6902903,21.499,36.404,2019-01-28 00:00:00,6901772,27.273,34.907,2019-02-15 00:00:00,6902900
131,17.922,34.476,2019-03-08 00:00:00,6903237,25.986,33.244,2019-01-28 00:00:00,6902898,17.896,34.594,2019-02-16 00:00:00,6903237
132,18.166,41.788,2019-03-08 00:00:00,6903250,27.36,34.774,2019-01-28 00:00:00,6902900,18.004,41.705,2019-02-16 00:00:00,6903250
133,23.341,34.887,2019-03-08 00:00:00,6901775,26.833,34.164,2019-01-29 00:00:00,6903247,34.271,33.316,2019-02-16 00:00:00,6901773
134,26.703,35.123,2019-03-08 00:00:00,6902872,27.559,35.097,2019-01-29 00:00:00,6902872,7.77,42.504,2019-02-17 00:00:00,6902901
135,26.948,34.823,2019-03-08 00:00:00,6902900,4.012,40.85,2019-01-30 00:00:00,6902803,15.642,37.668,2019-02-17 00:00:00,6903249
136,28.446,34.041,2019-03-08 00:00:00,6901764,6.952,40.105,2019-01-30 00:00:00,6902804,24.152,39.733,2019-02-17 00:00:00,6903283
137,29.042,35.713,2019-03-08 00:00:00,6902874,7.212,42.826,2019-01-30 00:00:00,6902901,28.868,35.243,2019-02-17 00:00:00,6902904
138,15.642,36.649,2019-03-09 00:00:00,6903249,7.367,39.814,2019-01-30 00:00:00,6901657,21.281,36.499,2019-02-18 00:00:00,6901772
139,24.852,40.094,2019-03-09 00:00:00,6903283,28.537,34.095,2019-01-30 00:00:00,6901764,23.451,34.621,2019-02-18 00:00:00,6901775
140,34.647,33.581,2019-03-09 00:00:00,6901773,28.83,35.175,2019-01-30 00:00:00,6902904,26.875,34.665,2019-02-18 00:00:00,6903247
141,6.498,39.738,2019-03-10 00:00:00,6901774,28.841,35.05,2019-01-30 00:00:00,6902902,27.155,34.892,2019-02-18 00:00:00,6902900
142,26.624,35.118,2019-03-10 00:00:00,6902872,26.07,33.246,2019-01-31 00:00:00,6902898,27.198,35.252,2019-02-18 00:00:00,6902872
143,27.223,34.879,2019-03-10 00:00:00,6903247,27.349,34.78,2019-01-31 00:00:00,6902900,4.09,40.505,2019-02-19 00:00:00,6902803
144,28.931,35.443,2019-03-10 00:00:00,6902904,12.638,39.262,2019-02-01 00:00:00,6902903,6.95,40.532,2019-02-19 00:00:00,6902804
145,29.009,35.748,2019-03-10 00:00:00,6902874,17.65,41.709,2019-02-01 00:00:00,6903250,7.176,39.736,2019-02-20 00:00:00,6901657
146,4.118,41.039,2019-03-11 00:00:00,6902803,17.837,34.849,2019-02-01 00:00:00,6903237,7.743,42.533,2019-02-20 00:00:00,6902901
147,7.469,40.463,2019-03-11 00:00:00,6902804,23.291,34.658,2019-02-01 00:00:00,6901775,17.939,34.579,2019-02-21 00:00:00,6903237
148,21.006,36.66,2019-03-11 00:00:00,6901772,7.28,42.718,2019-02-02 00:00:00,6902901,17.976,41.404,2019-02-21 00:00:00,6903250
